user_id,platform,Income,Age,Gender
1382979469452,iOS,High,25 - 34,Female
481036337313,android,Low,25 - 34,Female
515396075575,android,Low,25 - 34,Female
1382979469405,android,Medium,45 - 54,Male
1400159338578,android,Medium,25 - 34,Male
1254130450658,android,Low,25 - 34,Male
403726925926,android,Low,25 - 34,Female
601295421496,android,Low,25 - 34,Female
42949673202,android,Low,35 - 44,Male
1262720385252,android,Medium,25 - 34,Male
1666447311449,android,Medium,< 18,Female
661424963670,android,Medium,25 - 34,Male
85899346103,android,Medium,18 - 24,Female
360777252931,android,Medium,35 - 44,Male
214748364968,android,Low,25 - 34,Male
395136991305,android,Low,18 - 24,Male
369367187568,android,Medium,25 - 34,Female
962072674591,android,Medium,25 - 34,Male
1657857376763,android,Low,18 - 24,Female
798863917173,android,Low,25 - 34,Female
936302871036,iOS,High,18 - 24,Female
609885356144,android,Low,25 - 34,Male
910533066805,android,Low,18 - 24,Male
25769804260,android,Low,35 - 44,Female
1202590842907,iOS,High,25 - 34,Male
721554505873,android,Low,25 - 34,Female
1245540516219,android,Low,18 - 24,Female
841813590287,android,Medium,< 18,Female
755914244164,android,Low,25 - 34,Male
816043786387,android,Low,25 - 34,Female
816043786330,android,Medium,35 - 44,Male
8589934711,android,High,18 - 24,Male
34359738459,android,Medium,25 - 34,Female
231928234051,iOS,High,18 - 24,Male
1503238553851,android,Low,25 - 34,Female
1692217114727,android,Medium,18 - 24,Female
721554505883,iOS,High,25 - 34,Female
1305670058147,android,Medium,18 - 24,Male
94489280565,android,Low,25 - 34,Male
455266533586,web,Medium,18 - 24,Female
1700807049339,android,Low,18 - 24,Female
249108103381,android,Low,18 - 24,Male
446676598819,android,Low,18 - 24,Female
403726926057,android,Medium,45 - 54,Male
1632087572657,android,Low,25 - 34,Female
51539607629,android,Medium,25 - 34,Female
1331439861821,android,Medium,18 - 24,Female
1460288881018,android,Medium,25 - 34,Female
1262720385547,android,Low,18 - 24,Male
1554778161231,android,Low,< 18,Male
51539607626,android,Medium,25 - 34,Female
1486058684735,android,Low,35 - 44,Male
953482740091,android,Medium,18 - 24,Male
1683627180185,android,Low,18 - 24,Male
42949673128,web,High,25 - 34,Male
644245094792,android,Low,25 - 34,Male
1168231104733,android,Low,18 - 24,Female
1503238554138,android,Medium,< 18,Female
523986010202,android,Low,18 - 24,Female
1090921693514,android,Low,25 - 34,Female
1005022347390,android-tv,Medium,18 - 24,Female
1013612281931,android,Low,< 18,Male
695784702029,android,Low,18 - 24,Female
1211180777889,android,Low,25 - 34,Male
85899346002,android,Medium,18 - 24,Female
68719476829,android,Low,18 - 24,Female
575525617750,android,Low,25 - 34,Female
532575944897,android,Low,25 - 34,Female
231928234239,iOS,High,25 - 34,Female
1546188226636,android,Low,25 - 34,Male
1520418422898,android,Low,25 - 34,Female
1417339207725,android,Medium,25 - 34,Female
1236950581304,android,Medium,25 - 34,Male
1580547965113,android,Medium,18 - 24,Female
283467841659,android,Medium,18 - 24,Female
403726925913,android,Low,< 18,Female
558345748564,android,Low,18 - 24,Male
1408749273227,android,Low,< 18,Female
1073741824159,android,Medium,25 - 34,Female
1185410973782,android,Medium,25 - 34,Male
575525617821,android,Medium,25 - 34,Female
747324309673,android,Low,25 - 34,Male
206158430240,android,Low,25 - 34,Male
17179869324,android,Medium,25 - 34,Female
128849019267,android,Medium,< 18,Female
309237645642,iOS,High,25 - 34,Female
1675037245774,android,Low,18 - 24,Female
1675037245809,android,Medium,25 - 34,Male
326417514824,android,Medium,25 - 34,Female
1657857376351,android,Medium,25 - 34,Female
1597727834252,android,Medium,25 - 34,Male
1065151889630,android,Low,25 - 34,Female
644245094848,iOS,Medium,25 - 34,Female
1357209665622,android,Medium,35 - 44,Male
343597383871,android,Medium,35 - 44,Male
609885356189,android,Medium,18 - 24,Female
1314259992706,android,Medium,25 - 34,Male
721554505808,android,Low,< 18,Female
858993459580,android,Medium,35 - 44,Male
1288490188903,android,Medium,18 - 24,Female
1692217114960,android,Medium,25 - 34,Male
1116691497065,android,Low,25 - 34,Female
695784702087,android,Low,25 - 34,Male
566935683261,android,Low,25 - 34,Male
1571958030453,android,Low,25 - 34,Female
1340029796843,android,Low,18 - 24,Female
352187318560,android,Medium,25 - 34,Male
103079215175,android,Medium,25 - 34,Male
1546188226724,iOS,High,25 - 34,Female
1623497637981,web,High,25 - 34,Male
910533066847,iOS,High,< 18,Female
515396075952,android,Low,18 - 24,Female
798863917260,android,Medium,18 - 24,Female
876173328871,android,Low,18 - 24,Male
146028888357,android,Low,18 - 24,Male
137438953668,android,Medium,25 - 34,Female
171798691927,android,Medium,< 18,Male
798863917107,googlecast,Medium,18 - 24,Female
936302870620,android,Low,25 - 34,Female
1675037245585,web,Medium,35 - 44,Male
489626272195,android,Low,25 - 34,Male
472446402932,android,Low,18 - 24,Male
1589137899701,android,Medium,25 - 34,Female
652835029196,android,Low,18 - 24,Female
326417515048,android,Medium,25 - 34,Male
1460288881063,android,Low,25 - 34,Female
1460288880702,android,Medium,18 - 24,Male
1571958030820,android,Low,25 - 34,Male
1675037245507,android,Low,25 - 34,Female
369367187918,android,Medium,18 - 24,Female
1211180777873,android,Low,18 - 24,Female
1537598292223,android,Medium,25 - 34,Male
154618822792,android,Low,18 - 24,Female
532575944788,android,Low,35 - 44,Male
541165879392,android,High,18 - 24,Female
549755814387,android,Low,18 - 24,Female
1520418422955,android,Low,25 - 34,Male
730144440406,android,Low,25 - 34,Male
1236950581369,android,Low,25 - 34,Female
360777253255,android,Low,18 - 24,Female
523986010383,web,Low,25 - 34,Female
601295421487,android,Medium,25 - 34,Female
1194000908400,android,Low,18 - 24,Female
137438953546,android,Low,35 - 44,Male
1348619730997,iOS,Medium,25 - 34,Male
687194767643,android,Medium,18 - 24,Female
1666447311171,android,High,25 - 34,Female
335007449161,android,High,25 - 34,Male
893353197679,android,Low,25 - 34,Female
1297080123566,android,Low,18 - 24,Male
1357209665715,android,Low,35 - 44,Male
1125281431722,android,Low,25 - 34,Male
1030792151169,iOS,High,< 18,Female
515396075668,android,Medium,35 - 44,Male
1279900254267,android,Medium,18 - 24,Female
1047972020329,android,Medium,25 - 34,Male
927712936036,android,Low,18 - 24,Female
893353197643,android,Medium,18 - 24,Female
678604832886,android,Medium,25 - 34,Female
25769803873,android,Low,35 - 44,Male
274877907085,android,Low,18 - 24,Male
188978561172,android,Medium,25 - 34,Male
1099511627882,iOS,High,18 - 24,Female
1090921693371,android,Low,< 18,Female
128849018933,android,Low,25 - 34,Female
807453851748,android,Low,18 - 24,Female
1176821039401,android,Low,25 - 34,Female
1460288881165,android,Medium,35 - 44,Female
180388626913,android,Low,25 - 34,Male
1236950581447,android,Low,25 - 34,Male
326417514582,android,Low,25 - 34,Female
326417514602,android,Medium,25 - 34,Female
1288490188862,android,Medium,25 - 34,Female
206158430354,android,Low,25 - 34,Female
231928234547,android,Medium,25 - 34,Male
17179869509,android,Medium,55+,Male
1692217114895,android,Medium,35 - 44,Female
163208757305,android,Medium,25 - 34,Male
841813590391,android,Medium,18 - 24,Female
1305670058306,android,Medium,25 - 34,Female
1168231104939,android,Medium,18 - 24,Female
1348619731329,android,Low,25 - 34,Male
498216206510,iOS,High,< 18,Female
352187318360,android,Medium,18 - 24,Male
738734374948,android,Medium,18 - 24,Female
25769803894,android,Low,< 18,Female
1520418422912,android,Low,25 - 34,Female
283467841607,android,Low,25 - 34,Male
